bug_id,bug_title,bug_description,bug_tags,priority,severity,area_path,iteration_path,state
98481,Z50401804 Revision 0002.02 Missing Attribute on related A6013536152 Usage Descritpion (Relation),,R_24.01; T4_Taskforce; Team 1; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.3,Closed
98484,Z50422278 Revision 0001.047 Missing Attribute on related A0009817911 MaturityLevel (Relation) / List of Values for Editing needed,,R_24.01; Spillover; T4_Taskforce; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.3,Closed
98485,Z50401056 Revision 0003.001 Missing Attribute on related A0029890020 Remark (Relation),,14.3_Bugs; R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI6\Sprint 6.3,Closed
98488,DHAA000 SA35490 031 Revision 0001.003 Missing Attribute Maturity on EB-SAA Usage Z50400431 (Attention List of Values needed),,R_24.01; Team 2; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
98494,DHAA000 SA35400 069 Revision 0001.002 Missing Attribute BG on EB-SAA Usage A9073506900 (Attention List of Values needed),,R_24.01; Team 4,3,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
98646,"Object Creation: Product Structure, Navigation and Functional Module: Attributes should be removed: ""Part Number"", ""Unit of Measure""",,Ready; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI4\Sprint 4.3,Closed
98647,"Object Creation: Product Structure, Navigational and Functional Module, No LOVs attached to attributes ""Organizational Unit"" and ""Product Group""",,AnalyzedRejectedBug; Team 3,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI8\Sprint 8.2,Rejected
98650,"Object Creation: Navigation, Function Module and SA can be created outside of Product Structure. no attributes taken from Product Structure",,Blocked; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI4\Sprint 4.3,Rejected
98653,"Object Creatiion: Navigational and Functional Module, Attributes ""Nr. of Elements"" and ""Quantity"" should be removed",,Blocked; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI4\Sprint 4.3,Closed
98659,"Object Creation: SA, Attribute ""BCS Pos Number"" is missing",,Team 2,2,3 - Medium,104 newPDM\Ticket,104 newPDM\PI3\Sprint 3.2,Closed
98665,"Object Creation: SA, Attribute ""BCS Pos Number"" ist not created automatically as described in User Story 86395",,Team 2,2,3 - Medium,104 newPDM\Ticket,104 newPDM\PI3\Sprint 3.2,Rejected
99125,A4633506801-0008.002 >>> Note Data Set,,R_24.01; T4_Taskforce; Team 2; Team 3; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.2,Closed
99127,ARR_PLATON_TRAINING_PT/0001.001 >>> Part Number Info,,R_24.01; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.2,Closed
99131,ARR_PLATON_TRAINING_PT/0001.001 >>> Release State Icons,,R_24.01; T4_Taskforce; Team 3; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.2,Closed
99134,A4711506388-0003.002 >>> TRAFO Issue,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
99138,A4711506388-0003.002 >>> Missing Structure,,R_24.01; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
99147,N910105008011-0004.001 >>> Extra Geometry Revisions,,R_24.01; Team 4,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
99149,N910105008011-0004.001 >>> Missing dataset in Assembly Revision,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.4,Closed
99150,N910105008011-0004.001 >>> Missing Dataset in Geometry Revision,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.4,Closed
99337,PLATON- NX- Central test: Write access denied pop displays in NX though user is owner of the part,,TestTeam_NA,2,2 - High,104 newPDM\Agile Release Train,104 newPDM\PI3,Closed
99404,Error creating new part,,Team 1,4,3 - Medium,104 newPDM\PLATON\Team 1,104 newPDM\PI3\Sprint 3.4,Closed
99551,DT Attributes & GRM Relations of Product Structure object,,R_24.01; SRT,2,2 - High,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.3,Closed
99561,NX Behavior | 'Open in NX' not working as per expectation.,,R_24.01; SRT; Team 1; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 1,104 newPDM\PI4\Sprint 4.2,Closed
99565,Not Able to create project in PLATON,,Access central environment; R_24.01; SRT,4,2 - High,104 newPDM\PLATON\Team 6,104 newPDM\PI3,Rejected
99575,Not able to create program in PLATON,,Access central environment; R_24.01; SRT,4,2 - High,104 newPDM\PLATON\Team 6,104 newPDM\PI3,Rejected
99581,Create Component Object not available in PLATON,,R_24.01; SRT; TN,2,2 - High,104 newPDM\PLATON\Team 3,104 newPDM\PI4\Sprint 4.4,Closed
99601,SVG Preview image isn't displaying on Geometry revision,,R_24.01; SRT,3,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.3,Closed
99617,Signing Out not working on Pre-Prod Env,,R_24.01; SRT,1,1 - Critical,104 newPDM\PLATON\Team 6,104 newPDM\PI3\Sprint 3.4,Closed
99619,Type dropdown during the creation of child under top node,,R_24.01; SRT; Team 2,2,3 - Medium,104 newPDM\PLATON\Team 2,104 newPDM\PI3\Sprint 3.3,Closed
99655,Default Bug Template|,,TestTeam_NA,2,3 - Medium,104 newPDM\Agile Release Train,104 newPDM\PI3,Closed
99670,N000000000053-0001.001 | Dataset Missing,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
99680,Relation of Simplified JT to SA/Design usage is not Allowed,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
99692,DT Attributes & GRM Relations of Navigation Module object,,R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
99693,Unable to add Part/Assembly Design & Standard Part Design as child objects on Flexible Part,,R_24.01; Spillover; SRT; Team 1,2,2 - High,104 newPDM\PLATON\Team 1,104 newPDM\PI4\Sprint 4.1,Closed
99718,Creator property not available on Item level of LPS and UPS objects,,Blocked; R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
99728,DT Attributes & GRM Relations of Functional Module object,,Blocked; R_24.01; SRT,2,3 - Medium,104 newPDM\PLATON\Team 3,104 newPDM\PI3\Sprint 3.4,Closed
