WorkItemId,Title,LinkedWorkItemId,LinkedTitle,LinkedType
476690,Create and save assemblies with AWC,43919,Create and save assemblies with AWC,Test Case
476727,Modify Assemblies - Add Components,46196,Modify Assemblies - Add Components,Test Case
476728,Modify Assemblies - Remove Component,46234,Modify Assemblies - Remove Component,Test Case
476735,Modify Assemblies - Add Components in AWC,46425,Modify Assemblies - Add Components in AWC,Test Case
476736,Modify Assemblies - Remove Component in AWC,46451,Modify Assemblies - Remove Component in AWC,Test Case
48390,Configure the EBOM by Effectivity Date,37459,Configure the EBOM by effectivity date,User Story
49273,Save Drawing as new Design,35491,Exploration Data Model Definition of Model / Drawing management concept,User Story
49273,Save Drawing as new Design,35491,Exploration Data Model Definition of Model / Drawing management concept,User Story
476767,Save Drawing as new Design,35491,Exploration Data Model Definition of Model / Drawing management concept,User Story
476767,Save Drawing as new Design,35491,Exploration Data Model Definition of Model / Drawing management concept,User Story
49318,Modify code configuration(Copy & paste different codes) with Variant Formula Editor,34918,Enabler / Concept for the code configuration for EBOM and DesignBOM,User Story
49319,Code validations/restrictions (Variant constraints) with error/warning message,34918,Enabler / Concept for the code configuration for EBOM and DesignBOM,User Story
476768,Modify code configuration(Copy & paste different codes) with Variant Formula Editor,34918,Enabler / Concept for the code configuration for EBOM and DesignBOM,User Story
476769,Code validations/restrictions (Variant constraints) with error/warning message,34918,Enabler / Concept for the code configuration for EBOM and DesignBOM,User Story
49367,47704_Exploration: Deformable Parts and Flexible Parts,47704,Exploration: Deformable / Flexible Parts - General usage,User Story
49551,Exploration: Alignment of design and part,39887,Exploration: Alignment of design and part,User Story
49563,Exploration: Generate an aligned engineering BOM through a workflow,47144,Exploration: Generate an aligned engineering BOM through a workflow,User Story
49618,Exploration: Generate aligned collaborative product engineering BOM from Design BOM,39945,Exploration: Generate aligned collaborative product engineering BOM from Design BOM,User Story
49626,Exploration: Update an aligned engineering BOM based on design BOM changes,47145,Exploration: Update an aligned engineering BOM based on design BOM changes,User Story
49664,Viewing Access Rights for Custom Design Objects using the Access Tab,48294,Display Access Tab for all PLATON(Design) objects,User Story
49888,Enabler DS/DZ,36902,Enabler / DS/DZ options,User Story
476776,Enabler DS/DZ,36902,Enabler / DS/DZ options,User Story
50106,Creating a Production Facility Design and Raw Part Design Object,44312,Exploration: Production Facility and Raw Part object design in further process,User Story
50169,37603 Requirement of different assembly types,37603,Requirements of different assembly types,User Story
50441,Configure the EBOM for a specific product variant based on codes,37460,Configure the product structure for a specific product variant based on codes,User Story
50441,Configure the EBOM for a specific product variant based on codes,37460,Configure the product structure for a specific product variant based on codes,User Story
476795,Configure the EBOM for a specific product variant based on codes,37460,Configure the product structure for a specific product variant based on codes,User Story
50552,Exploration: DTNA structures especially for drawings,37025,Exploration: DTNA structures especially for drawings,User Story
52168,Program/Project Read Access Rules : Project Team member,38255,Create a basic concept to define Program/Project specific Read Access Rules,User Story
52172,Program/Project Read Access Rules : Non Project Team member,38255,Create a basic concept to define Program/Project specific Read Access Rules,User Story
476802,Program/Project Read Access Rules : Project Team member,38255,Create a basic concept to define Program/Project specific Read Access Rules,User Story
476803,Program/Project Read Access Rules : Non Project Team member,38255,Create a basic concept to define Program/Project specific Read Access Rules,User Story
52191,occurrence effectivity,49840,"In occurrence effectivity, it will show the replacing part info",User Story
52379,Copy or Clone existing single parts,35248,Copy or clone existing single parts,User Story
52587,"Test Case : when we want to find the part of front axle, we can used partition to group the parts of Axle",49836,"when we want to find the part of front axle, we can used partition to group the parts of Axle",User Story
